,unemp,infl
0,5.8,0.0
1,5.1,2.34
2,5.3,2.74
3,5.6,0.27
4,5.2,2.31
5,5.2,0.14
6,5.6,2.7
7,6.3,1.21
8,6.8,-0.4
9,7.0,1.47
10,6.8,0.8
11,6.2,0.8
12,5.6,2.26
13,5.5,0.13
14,5.6,2.11
15,5.5,0.79
16,5.8,0.53
17,5.7,2.75
18,5.5,0.78
19,5.6,2.46
20,5.5,0.13
21,5.2,0.9
22,5.0,1.29
23,5.0,2.05
24,4.9,1.28
25,4.7,2.54
26,4.4,0.89
27,4.1,2.9
28,3.9,4.99
29,3.8,2.1
30,3.8,4.9
31,3.7,0.61
32,3.8,2.42
33,3.8,3.61
34,3.8,3.58
35,3.9,4.72
36,3.7,3.5
37,3.5,5.77
38,3.5,4.56
39,3.4,4.51
40,3.4,6.67
41,3.4,5.47
42,3.6,5.4
43,3.6,6.38
44,4.2,6.28
45,4.8,4.13
46,5.2,5.11
47,5.8,5.04
48,5.9,2.0
49,5.9,4.96
50,6.0,2.94
51,6.0,2.92
52,5.8,2.9
53,5.7,2.88
54,5.6,3.81
55,5.3,4.71
56,5.0,9.26
57,4.9,4.55
58,4.8,12.47
59,4.8,10.39
60,5.1,10.96
61,5.2,9.86
62,5.6,13.56
63,6.6,10.07
64,8.2,5.32
65,8.9,7.48
66,8.5,6.61
67,8.3,6.5
68,7.7,2.14
69,7.6,6.37
70,7.7,6.27
71,7.8,5.49
72,7.5,8.76
73,7.1,5.3
74,6.9,5.23
75,6.6,7.08
76,6.3,7.58
77,6.0,9.89
78,6.0,9.65
79,5.9,8.26
80,5.9,12.08
81,5.7,13.37
82,5.9,11.88
83,5.9,14.62
84,6.3,14.6
85,7.3,8.32
86,7.7,10.04
87,7.4,11.64
88,7.4,8.62
89,7.4,10.63
90,7.4,8.22
91,8.2,4.26
92,8.8,2.53
93,9.4,10.39
94,9.9,2.45
95,10.7,-0.82
96,10.4,3.66
97,10.1,4.03
98,9.4,3.99
99,8.5,5.13
100,7.9,4.67
101,7.5,3.09
102,7.4,3.82
103,7.3,2.28
104,7.3,4.89
105,7.3,2.61
106,7.2,2.96
107,7.0,5.13
108,7.0,-4.39
109,7.2,2.93
110,7.0,2.55
111,6.8,4.33
112,6.6,4.64
113,6.3,3.89
114,6.0,4.2
115,5.9,3.46
116,5.7,4.12
117,5.5,4.41
118,5.5,4.7
119,5.3,4.31
120,5.2,6.22
121,5.2,4.52
122,5.3,2.88
123,5.4,6.64
124,5.3,4.37
125,5.3,4.93
126,5.7,8.79
127,6.1,3.88
128,6.6,1.19
129,6.8,3.24
130,6.9,2.93
131,7.1,3.19
132,7.4,3.17
133,7.6,3.14
134,7.6,3.4
135,7.4,3.09
136,7.2,2.79
137,7.1,1.94
138,6.8,3.03
139,6.6,1.92
140,6.6,2.45
141,6.2,3.25
142,6.0,2.69
143,5.6,2.93
144,5.5,3.44
145,5.7,2.1
146,5.7,2.35
147,5.6,3.11
148,5.5,3.6
149,5.5,2.3
150,5.3,3.05
151,5.3,3.02
152,5.2,1.25
153,5.0,1.25
154,4.9,2.73
155,4.7,1.24
156,4.6,0.49
157,4.4,2.46
158,4.5,1.71
159,4.4,1.95
160,4.3,2.9
161,4.3,1.92
162,4.2,3.35
163,4.1,2.85
164,4.0,3.76
165,3.9,4.19
166,4.0,2.77
167,3.9,3.89
168,4.2,1.82
169,4.4,2.26
170,4.8,0.45
171,5.5,0.23
172,5.7,3.59
173,5.8,1.56
174,5.7,2.66
175,5.8,3.08
176,5.9,1.31
177,6.2,1.09
178,6.1,2.6
179,5.8,3.02
180,5.7,2.35
181,5.6,3.61
182,5.4,3.58
183,5.4,2.09
184,5.3,4.15
185,5.1,1.85
186,5.0,9.14
187,4.9,0.4
188,4.7,2.6
189,4.7,3.97
190,4.7,-1.58
191,4.4,3.3
192,4.5,4.58
193,4.5,2.75
194,4.7,3.45
195,4.8,6.38
196,4.9,2.82
197,5.4,8.53
198,6.0,-3.16
199,6.9,-8.79
200,8.1,0.94
201,9.2,3.37
202,9.6,3.56
